SAMPLE ID2;Sample No;Location Name;Municipality;County;General Peatland Type;Specific Peatland Type;Generell myrtype;Naturtype;Detaljert Naturtype;NiN kode;Condition;Condition_notes;Notes_misc;ETRS89_UTM32_E;ETRS89_UTM32_N;Depth (cm);Depth_grouped (cm);BD (t/m3);moisture content (%);% SOM;% Ash content;SOM to SOC (conversion 0.5);C density (kg/m3);% Carbon;% Nitrogen;C:N ratio;Data collection date;Data contributors;Lab analysis
Ringvål0039;3;Rørmyra;Trondheim;Trøndelag;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;564694.52;7026414.33;200-230;200-250;0.038;90.74;98.47;1.53;49.23;18.7074;52.64;1.42;37;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0040;1;Rørmyra;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;564655.29;7026647.81;20-50;0-50;0.052;89.93;98.76;1.24;49.38;25.6776;45.73;1.95;23;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0040;2;Rørmyra;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;564655.29;7026647.81;100-130;100-150;0.066;89.03;98.81;1.19;49.41;32.6106;47.36;2.59;18;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0040;3;Rørmyra;Trondheim;Trøndelag;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;564655.29;7026647.81;200-230;200-250;0.047;88.65;98.44;1.56;49.22;23.1334;46.84;2.1;22;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0041;1;Rørmyra;Trondheim;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;564610.88;7026566.01;20-50;0-50;0.052;88.31;99.39;0.61;49.7;25.844;47.57;1.4;34;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0041;2;Rørmyra;Trondheim;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;564610.88;7026566.01;100-130;100-150;0.055;88.66;99.13;0.87;49.56;27.258;51.06;1.43;36;07.10.2020;NINA GRAN;NINA GRAN
SI1;1;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651930.81;6662483.69;9-18;0-50;0.229;87.02;98.34;1.66;49.17;112.5993;46.18;1.49;31;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
SI1;2;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651930.81;6662483.69;30-45;0-50;0.099;91.36;98.98;1.02;49.49;48.9951;46.76;1.75;27;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
SI1;3;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651930.81;6662483.69;130-140;100-150;0.082;94.94;99.81;0.19;49.9;40.918;46.14;0.93;50;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
SI2;1;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651911.64;6662436.52;5-10;0-50;0.103;93.96;99.68;0.32;49.84;51.3352;43.47;1.63;27;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
